"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"50947-55050","RB","Christian","Christian McCaffrey","McCaffrey","24.899999618530273","2","10000","CHI@CAR","CAR","CHI","IR","Ankle","","",""
"50947-54140","RB","Dalvin","Dalvin Cook","Cook","21.460000610351564","5","9500","ATL@MIN","MIN","ATL","O","Groin","","",""
"50947-39280","RB","Derrick","Derrick Henry","Henry","16.950000762939453","4","9000","HOU@TEN","TEN","HOU","","","","",""
"50947-63115","QB","Lamar","Lamar Jackson","Jackson","19.952000427246094","5","9000","BAL@PHI","BAL","PHI","","","","",""
"50947-64555","WR","Calvin","Calvin Ridley","Ridley","17.519999694824218","5","8600","ATL@MIN","ATL","MIN","","","","",""
"50947-54879","QB","Deshaun","Deshaun Watson","Watson","20.667999267578125","5","8200","HOU@TEN","HOU","TEN","","","","",""
"50947-14190","WR","Julio","Julio Jones","Jones","9.59999974568685","3","8200","ATL@MIN","ATL","MIN","","","","",""
"50947-53562","RB","Nick","Nick Chubb","Chubb","14.675000190734863","4","8000","CLE@PIT","CLE","PIT","IR","Knee - mcl","","",""
"50947-14185","QB","Cam","Cam Newton","Newton","24.486666361490887","3","8000","DEN@NE","NE","DEN","","","","",""
"50947-71845","RB","Miles","Miles Sanders","Sanders","15.699999809265137","4","7600","BAL@PHI","PHI","BAL","","","","",""
"50947-52436","TE","Mark","Mark Andrews","Andrews","12.240000152587891","5","7600","BAL@PHI","BAL","PHI","","","","",""
"50947-6589","QB","Ben","Ben Roethlisberger","Roethlisberger","20.459999084472656","4","7600","CLE@PIT","PIT","CLE","","","","",""
"50947-30635","RB","Mike","Mike Davis","Davis","18.899999618530273","4","7500","CHI@CAR","CAR","CHI","","","","",""
"50947-6616","QB","Matt","Matt Ryan","Ryan","17.236000061035156","5","7400","ATL@MIN","ATL","MIN","","","","",""
"50947-39716","WR","Adam","Adam Thielen","Thielen","18.08000030517578","5","7400","ATL@MIN","MIN","ATL","","","","",""
"50947-21948","QB","Ryan","Ryan Tannehill","Tannehill","22.34000015258789","4","7300","HOU@TEN","TEN","HOU","","","","",""
"50947-6654","QB","Matthew","Matthew Stafford","Stafford","19.045000076293945","4","7300","DET@JAC","DET","JAC","","","","",""
"50947-89675","RB","Jonathan","Jonathan Taylor","Taylor","13.080000305175782","5","7300","CIN@IND","IND","CIN","","","","",""
"50947-61798","QB","Gardner","Gardner Minshew II","Minshew II","19.652000427246094","5","7200","DET@JAC","JAC","DET","","","","",""
"50947-54244","WR","Kenny","Kenny Golladay","Golladay","14.449999809265137","2","7200","DET@JAC","DET","JAC","","","","",""
"50947-22038","QB","Kirk","Kirk Cousins","Cousins","15.155999755859375","5","7100","ATL@MIN","MIN","ATL","","","","",""
"50947-55987","WR","JuJu","JuJu Smith-Schuster","Smith-Schuster","12.324999809265137","4","7100","CLE@PIT","PIT","CLE","","","","",""
"50947-40687","RB","James","James Conner","Conner","14.625","4","7100","CLE@PIT","PIT","CLE","","","","",""
"50947-63336","QB","Joe","Joe Burrow","Burrow","16.732000732421874","5","7100","CIN@IND","CIN","IND","","","","",""
"50947-72776","RB","Alexander","Alexander Mattison","Mattison","7.519999694824219","5","7000","ATL@MIN","MIN","ATL","","","","",""
"50947-45229","RB","Kareem","Kareem Hunt","Hunt","16.5","5","7000","CLE@PIT","CLE","PIT","","","","",""
"50947-41535","QB","Baker","Baker Mayfield","Mayfield","14.847999572753906","5","7000","CLE@PIT","CLE","PIT","Q","Chest","","",""
"50947-70324","QB","Carson","Carson Wentz","Wentz","18.944000244140625","5","7000","BAL@PHI","PHI","BAL","","","","",""
"50947-38628","QB","Mitchell","Mitchell Trubisky","Trubisky","17.366666158040363","3","7000","CHI@CAR","CHI","CAR","","","","",""
"50947-28643","WR","Allen","Allen Robinson II","Robinson II","14.3","5","7000","CHI@CAR","CHI","CAR","","","","",""
"50947-52442","RB","Joe","Joe Mixon","Mixon","15.039999389648438","5","6900","CIN@IND","CIN","IND","","","","",""
"50947-33259","QB","Teddy","Teddy Bridgewater","Bridgewater","18.539999389648436","5","6900","CHI@CAR","CAR","CHI","","","","",""
"50947-22027","QB","Nick","Nick Foles","Foles","14.566666920979818","3","6900","CHI@CAR","CHI","CAR","","","","",""
"50947-60947","QB","Jarrett","Jarrett Stidham","Stidham","4.699999809265137","1","6900","DEN@NE","NE","DEN","","","","",""
"50947-56250","WR","Terry","Terry McLaurin","McLaurin","12.419999694824218","5","6900","WAS@NYG","WAS","NYG","","","","",""
"50947-63043","WR","DJ","DJ Moore","Moore","11.019999694824218","5","6800","CHI@CAR","CAR","CHI","","","","",""
"50947-7872","QB","Brian","Brian Hoyer","Hoyer","3","1","6800","DEN@NE","NE","DEN","","","","",""
"50947-30447","RB","Todd","Todd Gurley II","Gurley II","15.060000610351562","5","6800","ATL@MIN","ATL","MIN","","","","",""
"50947-7968","QB","Philip","Philip Rivers","Rivers","12.036000061035157","5","6800","CIN@IND","IND","CIN","","","","",""
"50947-63519","QB","Daniel","Daniel Jones","Jones","11.287999725341797","5","6700","WAS@NYG","NYG","WAS","","","","",""
"50947-42028","WR","Will","Will Fuller V","Fuller V","12.44000015258789","5","6700","HOU@TEN","HOU","TEN","","","","",""
"50947-64051","QB","Drew","Drew Lock","Lock","5.96999979019165","2","6700","DEN@NE","DEN","NE","Q","Shoulder","","",""
"50947-31360","WR","Odell","Odell Beckham Jr.","Beckham Jr.","14.363999938964843","5","6700","CLE@PIT","CLE","PIT","","","","",""
"50947-28900","RB","Melvin","Melvin Gordon III","Gordon III","15.024999618530273","4","6600","DEN@NE","DEN","NE","O","Illness","","",""
"50947-34308","QB","Blake","Blake Bortles","Bortles","-0.38999998569488525","2","6600","DEN@NE","DEN","NE","","","","",""
"50947-30253","QB","Jeff","Jeff Driskel","Driskel","10.693333943684896","3","6600","DEN@NE","DEN","NE","","","","",""
"50947-52917","WR","DJ","DJ Chark Jr.","Chark Jr.","12.25","4","6600","DET@JAC","JAC","DET","Q","Ankle","","",""
"50947-61157","QB","Brett","Brett Rypien","Rypien","7.650000095367432","2","6600","DEN@NE","DEN","NE","","","","",""
"50947-72846","WR","A.J.","A.J. Brown","Brown","12.050000190734863","2","6500","HOU@TEN","TEN","HOU","","","","",""
"50947-130288","RB","James","James Robinson","Robinson","15.419999694824218","5","6500","DET@JAC","JAC","DET","","","","",""
"50947-73183","QB","Dwayne","Dwayne Haskins Jr.","Haskins Jr.","13.890000343322754","4","6500","WAS@NYG","WAS","NYG","","","","",""
"50947-26251","WR","Robby","Robby Anderson","Anderson","14.639999389648438","5","6500","CHI@CAR","CAR","CHI","","","","",""
"50947-8005","QB","Alex","Alex Smith","Smith","1.5800000429153442","1","6500","WAS@NYG","WAS","NYG","","","","",""
"50947-62497","RB","David","David Johnson","Johnson","11.5","5","6400","HOU@TEN","HOU","TEN","","","","",""
"50947-53095","QB","Kyle","Kyle Allen","Allen","9.65999984741211","1","6400","WAS@NYG","WAS","NYG","","","","",""
"50947-86687","WR","Marquise","Marquise Brown","Brown","9.8","5","6300","BAL@PHI","BAL","PHI","","","","",""
"50947-7859","WR","Julian","Julian Edelman","Edelman","10.149999618530273","4","6200","DEN@NE","NE","DEN","Q","Knee","","",""
"50947-40669","WR","Tyler","Tyler Boyd","Boyd","11.719999694824219","5","6100","CIN@IND","CIN","IND","","","","",""
"50947-24607","QB","Chad","Chad Kelly","Kelly","0","0","6000","CIN@IND","IND","CIN","","","","",""
"50947-71710","QB","Nate","Nate Stanley","Stanley","0","0","6000","ATL@MIN","MIN","ATL","","","","",""
"50947-30788","QB","Tyler","Tyler Bray","Bray","0","0","6000","CHI@CAR","CHI","CAR","","","","",""
"50947-29780","TE","Zach","Zach Ertz","Ertz","6.5","5","6000","BAL@PHI","PHI","BAL","","","","",""
"50947-52342","QB","Will","Will Grier","Grier","2.6600000858306885","2","6000","CHI@CAR","CAR","CHI","","","","",""
"50947-39034","QB","Kurt","Kurt Benkert","Benkert","0","0","6000","ATL@MIN","ATL","MIN","","","","",""
"50947-64637","QB","Brian","Brian Lewerke","Lewerke","0","0","6000","DEN@NE","NE","DEN","","","","",""
"50947-83079","QB","Kyle","Kyle Lauletta","Lauletta","0","0","6000","ATL@MIN","ATL","MIN","","","","",""
"50947-27801","QB","Nate","Nate Sudfeld","Sudfeld","0","0","6000","BAL@PHI","PHI","BAL","","","","",""
"50947-45259","QB","Logan","Logan Woodside","Woodside","0","0","6000","HOU@TEN","TEN","HOU","","","","",""
"50947-54507","QB","Alex","Alex McGough","McGough","0","0","6000","HOU@TEN","HOU","TEN","","","","",""
"50947-61675","QB","Riley","Riley Neal","Neal","0","0","6000","DEN@NE","DEN","NE","","","","",""
"50947-11500","QB","Colt","Colt McCoy","McCoy","5.28000020980835","1","6000","WAS@NYG","NYG","WAS","","","","",""
"50947-130304","QB","Kevin","Kevin Davidson","Davidson","0","0","6000","CLE@PIT","CLE","PIT","","","","",""
"50947-130337","QB","Case","Case Cookus","Cookus","0","0","6000","WAS@NYG","NYG","WAS","","","","",""
"50947-31047","QB","AJ","AJ McCarron","McCarron","8.949999809265137","2","6000","HOU@TEN","HOU","TEN","","","","",""
"50947-63819","WR","Darius","Darius Slayton","Slayton","11.6","5","6000","WAS@NYG","NYG","WAS","Q","Foot","","",""
"50947-52606","QB","David","David Blough","Blough","12.172000122070312","5","6000","DET@JAC","DET","JAC","","","","",""
"50947-32158","QB","Garrett","Garrett Gilbert","Gilbert","-0.06000000238418579","5","6000","CLE@PIT","CLE","PIT","","","","",""
"50947-70051","QB","Tyler","Tyler Huntley","Huntley","0","0","6000","BAL@PHI","BAL","PHI","","","","",""
"50947-60840","QB","Jake","Jake Browning","Browning","0","0","6000","ATL@MIN","MIN","ATL","","","","",""
"50947-21941","QB","Robert","Robert Griffin III","Griffin III","-0.18000000715255737","3","6000","BAL@PHI","BAL","PHI","","","","",""
"50947-31170","QB","Brandon","Brandon Allen","Allen","11.5","3","6000","CIN@IND","CIN","IND","","","","",""
"50947-22994","QB","Case","Case Keenum","Keenum","10.84800033569336","10","6000","CLE@PIT","CLE","PIT","","","","",""
"50947-40407","QB","Josh","Josh Dobbs","Dobbs","0","0","6000","CLE@PIT","PIT","CLE","","","","",""
"50947-53729","QB","Mason","Mason Rudolph","Rudolph","11.780000305175781","10","6000","CLE@PIT","PIT","CLE","","","","",""
"50947-62945","QB","Nick","Nick Tiano","Tiano","0","0","6000","HOU@TEN","HOU","TEN","","","","",""
"50947-69132","QB","Khalil","Khalil Tate","Tate","0","0","6000","BAL@PHI","PHI","BAL","","","","",""
"50947-6679","QB","Matt","Matt Schaub","Schaub","6.780000305175781","5","6000","ATL@MIN","ATL","MIN","","","","",""
"50947-30231","QB","Jacoby","Jacoby Brissett","Brissett","0.3400000035762787","2","6000","CIN@IND","IND","CIN","","","","",""
"50947-23075","QB","Alex","Alex Tanney","Tanney","0.03999999910593033","1","6000","WAS@NYG","NYG","WAS","","","","",""
"50947-8803","QB","Chase","Chase Daniel","Daniel","9.333333333333334","3","6000","DET@JAC","DET","JAC","","","","",""
"50947-61042","QB","Kendall","Kendall Hinton","Hinton","0","0","6000","DEN@NE","DEN","NE","","","","",""
"50947-64115","QB","Steven","Steven Montez","Montez","0","0","6000","WAS@NYG","WAS","NYG","","","","",""
"50947-6803","QB","Josh","Josh McCown","McCown","0.3799999952316284","2","6000","BAL@PHI","PHI","BAL","","","","",""
"50947-95893","QB","Devlin","Devlin Hodges","Hodges","7.414999961853027","8","6000","CLE@PIT","PIT","CLE","","","","",""
"50947-44715","QB","Cooper","Cooper Rush","Rush","0","0","6000","WAS@NYG","NYG","WAS","","","","",""
"50947-33463","QB","Paxton","Paxton Lynch","Lynch","0","0","6000","CLE@PIT","PIT","CLE","","","","",""
"50947-52929","QB","Jake","Jake Luton","Luton","0","0","6000","DET@JAC","JAC","DET","","","","",""
"50947-69333","QB","Jacob","Jacob Eason","Eason","0","0","6000","CIN@IND","IND","CIN","","","","",""
"50947-29445","QB","Sean","Sean Mannion","Mannion","0.18000000715255737","3","6000","ATL@MIN","MIN","ATL","","","","",""
"50947-28434","QB","Trevor","Trevor Siemian","Siemian","0.11999999731779099","1","6000","HOU@TEN","TEN","HOU","","","","",""
"50947-46866","QB","Ryan","Ryan Finley","Finley","8.886666615804037","3","6000","CIN@IND","CIN","IND","","","","",""
"50947-25410","QB","Mike","Mike Glennon","Glennon","2.119999885559082","2","6000","DET@JAC","JAC","DET","","","","",""
"50947-61253","QB","J'mar","J'mar Smith","Smith","0","0","6000","DEN@NE","NE","DEN","","","","",""
"50947-104281","QB","Jake","Jake Dolegala","Dolegala","0","0","6000","DEN@NE","NE","DEN","","","","",""
"50947-41827","QB","P.J.","P.J. Walker","Walker","0","0","6000","CHI@CAR","CAR","CHI","","","","",""
"50947-55148","QB","Clayton","Clayton Thorson","Thorson","0","0","6000","WAS@NYG","NYG","WAS","","","","",""
"50947-14211","RB","Mark","Mark Ingram II","Ingram II","7.3","5","6000","BAL@PHI","BAL","PHI","","","","",""
"50947-69531","QB","Jalen","Jalen Hurts","Hurts","1.1066666444142659","3","6000","BAL@PHI","PHI","BAL","","","","",""
"50947-72640","QB","Cole","Cole McDonald","McDonald","0","0","6000","HOU@TEN","TEN","HOU","","","","",""
"50947-56286","QB","Trace","Trace McSorley","McSorley","0.10000000149011612","1","6000","BAL@PHI","BAL","PHI","","","","",""
"50947-73273","RB","David","David Montgomery","Montgomery","11.819999694824219","5","5900","CHI@CAR","CHI","CAR","","","","",""
"50947-85671","WR","Justin","Justin Jefferson","Jefferson","10.519999694824218","5","5900","ATL@MIN","MIN","ATL","","","","",""
"50947-71705","TE","Noah","Noah Fant","Fant","11.350000381469727","4","5800","DEN@NE","DEN","NE","O","Ankle","","",""
"50947-22031","WR","T.Y.","T.Y. Hilton","Hilton","6.519999694824219","5","5800","CIN@IND","IND","CIN","","","","",""
"50947-22103","WR","Marvin","Marvin Jones Jr.","Jones Jr.","6.449999809265137","4","5800","DET@JAC","DET","JAC","","","","",""
"50947-87859","WR","Laviska","Laviska Shenault Jr.","Shenault Jr.","9.95999984741211","5","5800","DET@JAC","JAC","DET","","","","",""
"50947-90933","RB","Antonio","Antonio Gibson","Gibson","11.4","5","5800","WAS@NYG","WAS","NYG","","","","",""
"50947-48116","TE","Jonnu","Jonnu Smith","Smith","15.274999618530273","4","5800","HOU@TEN","TEN","HOU","","","","",""
"50947-71706","TE","T.J.","T.J. Hockenson","Hockenson","9.875","4","5700","DET@JAC","DET","JAC","","","","",""
"50947-90561","WR","Jerry","Jerry Jeudy","Jeudy","9.225000381469727","4","5700","DEN@NE","DEN","NE","","","","",""
"50947-66008","WR","Diontae","Diontae Johnson","Johnson","6.775000095367432","4","5700","CLE@PIT","PIT","CLE","O","Back","","",""
"50947-29501","WR","Brandin","Brandin Cooks","Cooks","8.980000305175782","5","5700","HOU@TEN","HOU","TEN","","","","",""
"50947-64576","RB","Damien","Damien Harris","Harris","10","1","5600","DEN@NE","NE","DEN","","","","",""
"50947-79998","WR","Keelan","Keelan Cole","Cole","10.11999969482422","5","5600","DET@JAC","JAC","DET","","","","",""
"50947-24920","RB","Devonta","Devonta Freeman","Freeman","8.5","3","5600","WAS@NYG","NYG","WAS","","","","",""
"50947-31394","WR","Jarvis","Jarvis Landry","Landry","8.776000213623046","5","5600","CLE@PIT","CLE","PIT","Q","Ribs","","",""
"50947-27338","RB","Rex","Rex Burkhead","Burkhead","11.725000381469727","4","5600","DEN@NE","NE","DEN","","","","",""
"50947-41872","TE","Evan","Evan Engram","Engram","6.1200000762939455","5","5600","WAS@NYG","NYG","WAS","","","","",""
"50947-83074","TE","Dallas","Dallas Goedert","Goedert","8.766666412353516","3","5500","BAL@PHI","PHI","BAL","IR","Ankle","","",""
"50947-73111","WR","Chase","Chase Claypool","Claypool","16","4","5500","CLE@PIT","PIT","CLE","","","","",""
"50947-6703","RB","Adrian","Adrian Peterson","Peterson","8.899999618530273","4","5500","DET@JAC","DET","JAC","","","","",""
"50947-52916","WR","Russell","Russell Gage","Gage","7.740000152587891","5","5500","ATL@MIN","ATL","MIN","","","","",""
"50947-89981","WR","Tee","Tee Higgins","Higgins","10.675000190734863","4","5500","CIN@IND","CIN","IND","","","","",""
"50947-11485","WR","Golden","Golden Tate","Tate","5.875","4","5400","WAS@NYG","NYG","WAS","","","","",""
"50947-11512","TE","Jimmy","Jimmy Graham","Graham","9.88000030517578","5","5400","CHI@CAR","CHI","CAR","","","","",""
"50947-45439","WR","Corey","Corey Davis","Davis","11.366666158040365","3","5400","HOU@TEN","TEN","HOU","IR","Illness","","",""
"50947-91598","RB","D'Andre","D'Andre Swift","Swift","8.774999618530273","4","5400","DET@JAC","DET","JAC","","","","",""
"50947-64031","TE","Hayden","Hayden Hurst","Hurst","7.3","5","5400","ATL@MIN","ATL","MIN","","","","",""
"50947-69168","WR","N'Keal","N'Keal Harry","Harry","7.449999809265137","4","5400","DEN@NE","NE","DEN","","","","",""
"50947-57091","WR","Tim","Tim Patrick","Patrick","10.225000381469727","4","5400","DEN@NE","DEN","NE","","","","",""
"50947-57651","WR","Travis","Travis Fulgham","Fulgham","19.450000762939453","2","5300","BAL@PHI","PHI","BAL","","","","",""
"50947-40434","WR","Greg","Greg Ward","Ward","7.919999694824218","5","5300","BAL@PHI","PHI","BAL","","","","",""
"50947-6739","WR","DeSean","DeSean Jackson","Jackson","5.700000127156575","3","5300","BAL@PHI","PHI","BAL","O","Hamstring","","",""
"50947-24533","TE","Mo","Mo Alie-Cox","Alie-Cox","7.380000305175781","5","5300","CIN@IND","IND","CIN","O","Knee","","",""
"50947-40126","TE","Austin","Austin Hooper","Hooper","5.959999847412109","5","5200","CLE@PIT","CLE","PIT","","","","",""
"50947-28930","RB","James","James White","White","8.050000190734863","2","5200","DEN@NE","NE","DEN","","","","",""
"50947-25272","TE","Eric","Eric Ebron","Ebron","6.650000095367432","4","5200","CLE@PIT","PIT","CLE","","","","",""
"50947-30403","WR","Chris","Chris Conley","Conley","5.1","5","5200","DET@JAC","JAC","DET","","","","",""
"50947-14187","WR","A.J.","A.J. Green","Green","3.779999923706055","5","5200","CIN@IND","CIN","IND","","","","",""
"50947-41936","WR","Anthony","Anthony Miller","Miller","7.1","5","5200","CHI@CAR","CHI","CAR","","","","",""
"50947-53390","WR","Zach","Zach Pascal","Pascal","5.279999923706055","5","5100","CIN@IND","IND","CIN","","","","",""
"50947-57543","RB","D'Ernest","D'Ernest Johnson","Johnson","3.5250000953674316","4","5100","CLE@PIT","CLE","PIT","","","","",""
"50947-52613","WR","Curtis","Curtis Samuel","Samuel","6.819999694824219","5","5100","CHI@CAR","CAR","CHI","Q","Knee","","",""
"50947-38301","TE","Darren","Darren Fells","Fells","5.6","5","5100","HOU@TEN","HOU","TEN","","","","",""
"50947-41426","RB","Phillip","Phillip Lindsay","Lindsay","4","1","5100","DEN@NE","DEN","NE","","","","",""
"50947-58041","RB","Mike","Mike Boone","Boone","1.899999976158142","1","5100","ATL@MIN","MIN","ATL","","","","",""
"50947-87787","RB","J.K.","J.K. Dobbins","Dobbins","7.280000305175781","5","5100","BAL@PHI","BAL","PHI","","","","",""
"50947-14257","WR","Randall","Randall Cobb","Cobb","8.3","5","5100","HOU@TEN","HOU","TEN","","","","",""
"50947-30678","WR","Damiere","Damiere Byrd","Byrd","6.224999904632568","4","5100","DEN@NE","NE","DEN","","","","",""
"50947-55335","TE","David","David Njoku","Njoku","6.800000190734863","2","5000","CLE@PIT","CLE","PIT","","","","",""
"50947-63625","RB","Nyheim","Nyheim Hines","Hines","8.2","5","5000","CIN@IND","IND","CIN","","","","",""
"50947-69777","WR","Darnell","Darnell Mooney","Mooney","5.840000152587891","5","5000","CHI@CAR","CHI","CAR","","","","",""
"50947-12535","D","Indianapolis","Indianapolis Colts","Colts","12.6","5","5000","CIN@IND","IND","CIN","","","","",""
"50947-63806","RB","Kerryon","Kerryon Johnson","Johnson","3.950000047683716","4","5000","DET@JAC","DET","JAC","","","","",""
"50947-43334","RB","J.D.","J.D. McKissic","McKissic","5.279999923706055","5","5000","WAS@NYG","WAS","NYG","","","","",""
"50947-53640","RB","Sony","Sony Michel","Michel","8.866666793823242","3","5000","DEN@NE","NE","DEN","IR","Quadriceps","","",""
"50947-70383","RB","Darrynton","Darrynton Evans","Evans","1.0499999523162842","2","5000","HOU@TEN","TEN","HOU","IR","Hamstring","","",""
"50947-70422","WR","Kalif","Kalif Raymond","Raymond","4.150000095367432","4","5000","HOU@TEN","TEN","HOU","","","","",""
"50947-27477","WR","Sterling","Sterling Shepard","Shepard","6.099999904632568","2","5000","WAS@NYG","NYG","WAS","IR","Toe","","",""
"50947-12555","D","Baltimore","Baltimore Ravens","Ravens","13.8","5","4900","BAL@PHI","BAL","PHI","","","","",""
"50947-14645","WR","Dontrelle","Dontrelle Inman","Inman","5.659999847412109","5","4900","WAS@NYG","WAS","NYG","","","","",""
"50947-94625","WR","Jalen","Jalen Reagor","Reagor","6.050000190734863","2","4900","BAL@PHI","PHI","BAL","IR","Thumb","","",""
"50947-86472","WR","John","John Hightower","Hightower","2.799999952316284","4","4900","BAL@PHI","PHI","BAL","","","","",""
"50947-55970","RB","Royce","Royce Freeman","Freeman","2.5999999046325684","4","4900","DEN@NE","DEN","NE","","","","",""
"50947-39859","TE","Jack","Jack Doyle","Doyle","2.7000001271565757","3","4900","CIN@IND","IND","CIN","","","","",""
"50947-8117","WR","Danny","Danny Amendola","Amendola","5.675000190734863","4","4900","DET@JAC","DET","JAC","","","","",""
"50947-64496","WR","Olamide","Olamide Zaccheaus","Zaccheaus","5.5","4","4900","ATL@MIN","ATL","MIN","","","","",""
"50947-57338","TE","Jordan","Jordan Akins","Akins","7.449999809265137","4","4900","HOU@TEN","HOU","TEN","O","Concussion","","",""
"50947-14339","RB","Dion","Dion Lewis","Lewis","3.8200000762939452","5","4800","WAS@NYG","NYG","WAS","","","","",""
"50947-86192","WR","KJ","KJ Hamler","Hamler","5.75","2","4800","DEN@NE","DEN","NE","O","Hamstring","","",""
"50947-12541","D","New England","New England Patriots","Patriots","9","4","4800","DEN@NE","NE","DEN","","","","",""
